M,K,Label,Both_Hands,F_Index,F_Middle,F_Pinky,F_Ring,F_Thumb,M_Back,M_Down,M_Front,M_In,M_Iterative,M_Out,M_Up,O_Back,O_Down,O_Front,O_In,O_Out,O_Up,feature_path_m,feature_path_k,fold
train/001/M_00002.avi,train/001/K_00002.avi,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_00002.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_00002.npy,3
train/001/M_00104.avi,train/001/K_00104.avi,19,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_00104.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_00104.npy,3
train/002/M_00201.avi,train/002/K_00201.avi,19,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_00201.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_00201.npy,3
train/002/M_00247.avi,train/002/K_00247.avi,19,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_00247.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_00247.npy,3
train/002/M_00310.avi,train/002/K_00310.avi,19,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_00310.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_00310.npy,3
train/003/M_00476.avi,train/003/K_00476.avi,19,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_00476.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_00476.npy,3
train/003/M_00539.avi,train/003/K_00539.avi,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_00539.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_00539.npy,3
train/005/M_00999.avi,train/005/K_00999.avi,19,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_00999.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_00999.npy,3
train/006/M_01077.avi,train/006/K_01077.avi,19,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_01077.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_01077.npy,3
train/006/M_01128.avi,train/006/K_01128.avi,19,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_01128.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_01128.npy,3
