M,K,Label,Both_Hands,F_Index,F_Middle,F_Pinky,F_Ring,F_Thumb,M_Back,M_Down,M_Front,M_In,M_Iterative,M_Out,M_Up,O_Back,O_Down,O_Front,O_In,O_Out,O_Up,feature_path_m,feature_path_k,fold
train/001/M_00004.avi,train/001/K_00004.avi,135,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_00004.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_00004.npy,0
train/001/M_00018.avi,train/001/K_00018.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_00018.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_00018.npy,0
train/001/M_00025.avi,train/001/K_00025.avi,135,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_00025.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_00025.npy,0
train/001/M_00144.avi,train/001/K_00144.avi,135,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_00144.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_00144.npy,0
train/002/M_00235.avi,train/002/K_00235.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_00235.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_00235.npy,0
train/002/M_00293.avi,train/002/K_00293.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_00293.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_00293.npy,0
train/002/M_00337.avi,train/002/K_00337.avi,135,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_00337.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_00337.npy,0
train/007/M_01385.avi,train/007/K_01385.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_01385.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_01385.npy,0
train/008/M_01496.avi,train/008/K_01496.avi,135,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_01496.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_01496.npy,0
train/009/M_01706.avi,train/009/K_01706.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_01706.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_01706.npy,0
train/009/M_01718.avi,train/009/K_01718.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_01718.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_01718.npy,0
train/011/M_02054.avi,train/011/K_02054.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_02054.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_02054.npy,0
train/013/M_02495.avi,train/013/K_02495.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_02495.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_02495.npy,0
train/014/M_02654.avi,train/014/K_02654.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_02654.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_02654.npy,0
train/015/M_02972.avi,train/015/K_02972.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_02972.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_02972.npy,0
train/018/M_03579.avi,train/018/K_03579.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_03579.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_03579.npy,0
train/019/M_03737.avi,train/019/K_03737.avi,135,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_03737.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_03737.npy,0
train/021/M_04161.avi,train/021/K_04161.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_04161.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_04161.npy,0
train/022/M_04352.avi,train/022/K_04352.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_04352.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_04352.npy,0
train/027/M_05277.avi,train/027/K_05277.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_05277.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_05277.npy,0
train/027/M_05360.avi,train/027/K_05360.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_05360.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_05360.npy,0
train/028/M_05590.avi,train/028/K_05590.avi,135,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_05590.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_05590.npy,0
train/029/M_05708.avi,train/029/K_05708.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_05708.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_05708.npy,0
train/029/M_05756.avi,train/029/K_05756.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_05756.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_05756.npy,0
train/030/M_05830.avi,train/030/K_05830.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_05830.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_05830.npy,0
train/031/M_06167.avi,train/031/K_06167.avi,135,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/scratch/gilbreth/choi502/ie590/feature_maps/M_06167.npy,/scratch/gilbreth/choi502/ie590/feature_maps/K_06167.npy,0
