2019-12-25 13:30:57,308:INFO: START FITTING.. FOLD-0, DESCRIPTOR-Both_Hands
2019-12-25 13:31:13,532:WARNING: Layer vg_g16_lstm is casting an input tensor from dtype float64 to the layer's dtype of float32, which is new behavior in TensorFlow 2.  The layer has dtype float32 because it's dtype defaults to floatx.

If you intended to run this layer in float32, you can safely ignore this warning. If in doubt, this warning is likely only an issue if you are porting a TensorFlow 1.X model to TensorFlow 2.

To change all layers to have dtype float64 by default, call `tf.keras.backend.set_floatx('float64')`. To change just this layer, pass dtype='float64' to the layer constructor. If you are the author of this layer, you can disable autocasting by passing autocast=False to the base Layer constructor.

2019-12-25 13:32:13,229:INFO: --> Iteration 0, Epoch 1, Train Loss: 0.7501, Train Accuracy: 0.3400, Val Loss: 0.5824, Val Accuracy: 0.7977
2019-12-25 13:35:50,032:INFO: --> Iteration 40, Epoch 2, Train Loss: 0.5048, Train Accuracy: 0.7962, Val Loss: 0.4816, Val Accuracy: 0.7977
2019-12-25 13:36:07,298:INFO: --> Iteration 80, Epoch 3, Train Loss: 0.4578, Train Accuracy: 0.8207, Val Loss: 0.4628, Val Accuracy: 0.7977
2019-12-25 13:36:23,953:INFO: --> Iteration 120, Epoch 4, Train Loss: 0.4183, Train Accuracy: 0.8055, Val Loss: 0.3571, Val Accuracy: 0.8364
2019-12-25 13:36:40,675:INFO: --> Iteration 160, Epoch 5, Train Loss: 0.3460, Train Accuracy: 0.8512, Val Loss: 0.3031, Val Accuracy: 0.8750
2019-12-25 13:36:57,322:INFO: --> Iteration 200, Epoch 6, Train Loss: 0.2848, Train Accuracy: 0.8772, Val Loss: 0.2322, Val Accuracy: 0.9018
2019-12-25 13:37:14,025:INFO: --> Iteration 240, Epoch 7, Train Loss: 0.2155, Train Accuracy: 0.9155, Val Loss: 0.2355, Val Accuracy: 0.9008
2019-12-25 13:37:30,560:INFO: --> Iteration 280, Epoch 8, Train Loss: 0.2110, Train Accuracy: 0.9150, Val Loss: 0.1827, Val Accuracy: 0.9179
2019-12-25 13:37:47,056:INFO: --> Iteration 320, Epoch 9, Train Loss: 0.1710, Train Accuracy: 0.9328, Val Loss: 0.1446, Val Accuracy: 0.9335
2019-12-25 13:38:03,652:INFO: --> Iteration 360, Epoch 10, Train Loss: 0.1939, Train Accuracy: 0.9261, Val Loss: 0.1753, Val Accuracy: 0.9174
2019-12-25 13:38:20,393:INFO: --> Iteration 400, Epoch 11, Train Loss: 0.1559, Train Accuracy: 0.9369, Val Loss: 0.1311, Val Accuracy: 0.9388
2019-12-25 13:38:37,022:INFO: --> Iteration 440, Epoch 12, Train Loss: 0.1350, Train Accuracy: 0.9471, Val Loss: 0.2244, Val Accuracy: 0.9131
2019-12-25 13:38:53,256:INFO: --> Iteration 480, Epoch 13, Train Loss: 0.1275, Train Accuracy: 0.9482, Val Loss: 0.1292, Val Accuracy: 0.9480
2019-12-25 13:39:10,537:INFO: --> Iteration 520, Epoch 15, Train Loss: 0.1162, Train Accuracy: 0.9567, Val Loss: 0.0901, Val Accuracy: 0.9598
2019-12-25 13:39:27,570:INFO: --> Iteration 560, Epoch 16, Train Loss: 0.0942, Train Accuracy: 0.9608, Val Loss: 0.1335, Val Accuracy: 0.9480
2019-12-25 13:39:44,532:INFO: --> Iteration 600, Epoch 17, Train Loss: 0.1006, Train Accuracy: 0.9594, Val Loss: 0.0924, Val Accuracy: 0.9619
2019-12-25 13:40:01,337:INFO: --> Iteration 640, Epoch 18, Train Loss: 0.0889, Train Accuracy: 0.9621, Val Loss: 0.1149, Val Accuracy: 0.9539
2019-12-25 13:40:18,139:INFO: --> Iteration 680, Epoch 19, Train Loss: 0.0843, Train Accuracy: 0.9693, Val Loss: 0.0747, Val Accuracy: 0.9716
2019-12-25 13:40:34,857:INFO: --> Iteration 720, Epoch 20, Train Loss: 0.0681, Train Accuracy: 0.9764, Val Loss: 0.0481, Val Accuracy: 0.9791
